>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PJSD706_Shinonome.ShipAbilities.AbilitySlot4 removed in first object
root.PASA002_Bogue_1942.ShipAbilities.AbilitySlot4 removed in first object
root.PGSC506_Admiral_Graf_Spee.ShipAbilities.AbilitySlot4 removed in first object
root.PFSB105_Bretagne.ShipAbilities.AbilitySlot4 removed in first object
root.PGSD104_V_170.ShipAbilities.AbilitySlot4 removed in first object
root.PGSC106_Nurnberg.ShipAbilities.AbilitySlot4 removed in first object
root.PXSC005_Zaya.ShipAbilities.AbilitySlot4 removed in first object
root.PXSX023_HMS_SS_Lorina.ShipAbilities.AbilitySlot4 removed in first object
root.PRSD308_Pr_48.ShipAbilities.AbilitySlot4 removed in first object
root.PRSD001_Gremyashchy_1942.ShipAbilities.AbilitySlot4 removed in first object
root.PGSD103_G_101.ShipAbilities.AbilitySlot4 removed in first object
root.PASA906_Ranger_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PZSD110_Hsiang_Yang.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD206_Hatsuharu.ShipAbilities.AbilitySlot4 removed in first object
root.PRSC508_Kutuzov_1952.ShipAbilities.AbilitySlot4 removed in first object
root.PGSC110_Hindenburg.ShipAbilities.AbilitySlot4 removed in first object
root.PXSB005_Bismarck_H2017.ShipAbilities.AbilitySlot4 removed in first object
root.PASX904_Cimarron.ShipAbilities.AbilitySlot4 removed in first object
root.PASC019_Burlington_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PBSB104_Orion.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC012_Ibuki_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PXSX033_Dyck.ShipAbilities.AbilitySlot4 removed in first object
root.PASD913_Gearing_1945.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC014_Kitakami_1945.ShipAbilities.AbilitySlot4 removed in first object
root.PBSC101_Black_Swan.ShipAbilities.AbilitySlot4 removed in first object
root.PRSC506_Molotov_1943.ShipAbilities.AbilitySlot4 removed in first object
root.PZSC101_Cheng_An.ShipAbilities.AbilitySlot4 removed in first object
root.PRSD103_Derzky.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD010_Kagero_1943.ShipAbilities.AbilitySlot4 removed in first object
root.PASB802_FALSE_ENEMY_Michigan.ShipAbilities.AbilitySlot4 removed in first object
root.PXSX045_Liberty.ShipAbilities.AbilitySlot4 removed in first object
root.PASC707_Flint.ShipAbilities.AbilitySlot4 removed in first object
root.PRSD507_Leningrad_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PGSD109_Z_46.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC708_ARP_Takao.ShipAbilities.AbilitySlot4 removed in first object
root.PASC597_Nueve_de_Julio_1951.ShipAbilities.AbilitySlot4 removed in first object
root.PXSB004_Tirpiz_1942_H2017.ShipAbilities.AbilitySlot4 removed in first object
root.PBSC110_Minotaur.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD803_False_Isokaze_1917.ShipAbilities.AbilitySlot4 removed in first object
root.PBSB103_Bellerophon.ShipAbilities.AbilitySlot4 removed in first object
root.PXSX026_Canterbury.ShipAbilities.AbilitySlot4 removed in first object
root.PRSC003_Murmansk_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PGSC109_Roon.ShipAbilities.AbilitySlot4 removed in first object
root.PRSD205_Podvoisky_pr_1929.ShipAbilities.AbilitySlot4 removed in first object
root.PASC710_Salem.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD007_Fubuki_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC707_Ashigara.ShipAbilities.AbilitySlot4 removed in first object
root.PASD508_Kidd.ShipAbilities.AbilitySlot4 removed in first object
root.PASD029_Sims_1941.ShipAbilities.AbilitySlot4 removed in first object
root.PFSD506_Aigle.ShipAbilities.AbilitySlot4 removed in first object
root.PZSD106_Fu_Shun.ShipAbilities.AbilitySlot4 removed in first object
root.PASX005_St_Clair.ShipAbilities.AbilitySlot4 removed in first object
root.PFSD605_Cyclone_event.ShipAbilities.AbilitySlot4 removed in first object
root.PASD506_Monaghan.ShipAbilities.AbilitySlot4 removed in first object
root.PFSB110_France.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC838_False_Hashidate_1940.ShipAbilities.AbilitySlot4 removed in first object
root.PXSB003_Zeekasa.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC004_Yubari_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PXSC004_Galaxy.ShipAbilities.AbilitySlot4 removed in first object
root.PJSB006_Fuso_1943.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD208_Kagero.ShipAbilities.AbilitySlot4 removed in first object
root.PRSC106_Pr_94_Budeny.ShipAbilities.AbilitySlot4 removed in first object
root.PJSA017_Hakuryu_1942.ShipAbilities.AbilitySlot4 removed in first object
root.PASA507_Saipan_1946.ShipAbilities.AbilitySlot4 removed in first object
root.PASC014_New_Orlean_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PGSC502_Emden_1908.ShipAbilities.AbilitySlot4 removed in first object
root.PUSC506_Perth_1942.ShipAbilities.AbilitySlot4 removed in first object
root.PFSC107_Algerie.ShipAbilities.AbilitySlot4 removed in first object
root.PASC016_Worcester_1948.ShipAbilities.AbilitySlot4 removed in first object
root.PRSC513_Varyag.group changed in second object (was demoWithoutStats, is special)
root.PRSC513_Varyag.groupCustom.CN removed in second object
root.PRSC513_Varyag.ShipUpgradeInfo.costGold changed in second object (was 99999, is 2200)
root.PRSC513_Varyag.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC034_Zao_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PASC005_Omaha_1923.ShipAbilities.AbilitySlot4 removed in first object
root.PJSX701_Support.ShipAbilities.AbilitySlot4 removed in first object
root.PASB013_Arkansas_1912.ShipAbilities.AbilitySlot4 removed in first object
root.PISC507_Duca_degli_Abruzzi.ShipAbilities.AbilitySlot4 removed in first object
root.PUSD503_Vampire.ShipAbilities.AbilitySlot4 removed in first object
root.PGSB106_Bayern.ShipAbilities.AbilitySlot4 removed in first object
root.PGSC105_Konigsberg.ShipAbilities.AbilitySlot4 removed in first object
root.PASD005_Farragut_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PRSC505_KrasniKrym.ShipAbilities.AbilitySlot4 removed in first object
root.PRSC010_Diana_1905_Asus.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD209_Yugumo.ShipAbilities.AbilitySlot4 removed in first object
root.PJSA006_Zuiho_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD106_Fubuki.ShipAbilities.AbilitySlot4 removed in first object
root.PBSD506_Gallant.ShipAbilities.AbilitySlot4 removed in first object
root.PGSD107_Leberecht_Maass.ShipAbilities.AbilitySlot4 removed in first object
root.PASC004_St_Louis_1906.ShipAbilities.AbilitySlot4 removed in first object
root.PJSB001_Kawachi_1912.ShipAbilities.AbilitySlot4 removed in first object
root.PASD027_Wickes_1918.ShipAbilities.AbilitySlot4 removed in first object
root.PXSD004_FlyFire.ShipAbilities.AbilitySlot4 removed in first object
root.PFSB506_Dunkerque_1940.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC709_Haguro.ShipAbilities.AbilitySlot4 removed in first object
root.PGSD105_T_22.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC015_Tatsuta_1919.ShipAbilities.AbilitySlot4 removed in first object
root.PBSC104_Danae.ShipAbilities.AbilitySlot4 removed in first object
root.PISB508_Roma.ShipAbilities.AbilitySlot4 removed in first object
root.PASX815_Bogue_Clone.ShipAbilities.AbilitySlot4 removed in first object
root.PGSB002_Tirpiz_1942.ShipAbilities.AbilitySlot4 removed in first object
root.PASB008_Colorado_1945.ShipAbilities.AbilitySlot4 removed in first object
root.PXSB001_Mr_Hyde.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD004_Minekadze_1920.ShipAbilities.AbilitySlot4 removed in first object
root.PJSA015_Taiho_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PGSB910_Grossdeutschland.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC038_Atago_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PJSB018_Yamato_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PGSC706_HSF_Graf_Spee.ShipAbilities.AbilitySlot4 removed in first object
root.PJSX702_Support.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD026_Camo_Kamikaze.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD025_True_Kamikaze.ShipAbilities.AbilitySlot4 removed in first object
root.PRSD110_Pr_24_Khabarovsk.ShipAbilities.AbilitySlot4 removed in first object
root.PBSB110_Conqueror.ShipAbilities.AbilitySlot4 removed in first object
root.PBSB107_King_George_V.ShipAbilities.AbilitySlot4 removed in first object
root.PBSC507_Belfast_1959.ShipAbilities.AbilitySlot4 removed in first object
root.PASB518_Massachusetts.ShipAbilities.AbilitySlot4 removed in first object
root.PZSD109_Chung_Mu.ShipAbilities.AbilitySlot4 removed in first object
root.PFSC506_De_Grasse.ShipAbilities.AbilitySlot4 removed in first object
root.PXSX001_Transylvania.ShipAbilities.AbilitySlot4 removed in first object
root.PASB018_Iowa_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD708_HSF_Harekaze.ShipAbilities.AbilitySlot4 removed in first object
root.PRSC510_Stalingrad.ShipAbilities.AbilitySlot4 removed in first object
root.PGSA508_Graf_Zeppelin.ShipAbilities.AbilitySlot4 removed in first object
root.PGSB109_Friedrich_der_Grosse.ShipAbilities.AbilitySlot4 removed in first object
root.PJSA012_Zuikaku_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC013_Kuma_1938.ShipAbilities.AbilitySlot4 removed in first object
root.PBSD503_Campbeltown_1941.ShipAbilities.AbilitySlot4 removed in first object
root.PASC507_Indianapolis_1945.ShipAbilities.AbilitySlot4 removed in first object
root.PJSD006_Hatsuharu_1945.ShipAbilities.AbilitySlot4 removed in first object
root.PXSX017_Caboteur_de_35_metres.ShipAbilities.AbilitySlot4 removed in first object
root.PASC044_Marblehead_1924.ShipAbilities.AbilitySlot4 removed in first object
root.PXSC006_Norma.ShipAbilities.AbilitySlot4 removed in first object
root.PJSC705_Myoko.ShipAbilities.AbilitySlot4 removed in first object
root.PRSD207_Minsk.ShipAbilities.AbilitySlot4 removed in first object
root.PASC017_Baltimore_1944.ShipAbilities.AbilitySlot4 removed in first object
root.PASB508_Alabama.ShipAbilities.AbilitySlot4 removed in first object
root.PZSD103_Phra_Ruang.ShipAbilities.AbilitySlot4 removed in first object
root.PBSC108_Edinburgh.ShipAbilities.AbilitySlot4 removed in first object
root.PASX001_Cimarron.ShipAbilities.AbilitySlot4 removed in first object
root.PXSX034_John_Cattling.ShipAbilities.AbilitySlot4 removed in first object
root.PRSD910_Grozovoy_pr_40N.ShipAbilities.AbilitySlot4 removed in first object
root.PASB509_Missouri.ShipAbilities.AbilitySlot4 removed in first object
root.PASD801_FALSE_ENEMY_Sampson.ShipAbilities.AbilitySlot4 removed in first object
