>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCY009_CrashCrewPremium.B_USA_SPEC_Gold removed in first object
root.PCM041_SonarSearch_Mod_I.ships[77] removed in first object
root.PCY001_CrashCrew.B_USA_SPEC removed in first object
root.PRGM118_305mm_61_SM31.shotDelay changed in second object (was 20.0, is 18.5)
root.PRGM118_305mm_61_SM31.idealRadius changed in second object (was 10.0, is 12.0)
root.PRGM118_305mm_61_SM31.minRadius changed in second object (was 1.6, is 2.0)
root.PAUH604_HELENA_A.costXP changed in second object (was 1, is 0)
root.PJSA017_Hakuryu_1942.A2A_FlightControl.planesReserveAssignment.Fighter changed in second object (was 2, is 3)
root.PJSA017_Hakuryu_1942.A2A_FlightControl.planesReserveAssignment.Bomber changed in second object (was 3, is 4)
root.PJSA017_Hakuryu_1942.A2A_FlightControl.squadrons[2][0] changed in second object (was Bomber, is Fighter)
root.PJSA017_Hakuryu_1942.A2A_FlightControl.squadrons[5][0] changed in second object (was Dive, is Bomber)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_2.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_3.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_1.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_6.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_7.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_4.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_5.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_8.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_9.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_10.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_11.shotDelay changed in second object (was 9.0, is 8.0)
root.PRSC513_Varyag.A1_Artillery.HP_RGM_12.shotDelay changed in second object (was 9.0, is 8.0)
root.PISC507_Duca_degli_Abruzzi.A_Hull.Cit.regeneratedHPPart changed in second object (was 0.1, is 0.33)
root.PISC507_Duca_degli_Abruzzi.group changed in second object (was demoWithoutStats, is special)
root.PCM042_RLSSearch_Mod_I.ships[17] removed in first object
root.PCM042_RLSSearch_Mod_I.ships[18] removed in first object
root.PASB518_Massachusetts.A1_Artillery.sigmaCount changed in second object (was 1.9, is 1.7)
root.PASB518_Massachusetts.A_ATBA.maxDist changed in second object (was 5000.0, is 7500.0)
root.PASB518_Massachusetts.ShipAbilities.AbilitySlot0.abils[0][1] changed in second object (was B_USA, is B_USA_SPEC)
root.PASB518_Massachusetts.ShipAbilities.AbilitySlot0.abils[1][1] changed in second object (was B_USA_Gold, is B_USA_SPEC_Gold)
root.PASB518_Massachusetts.ShipAbilities.AbilitySlot1.abils[0][1] changed in second object (was B, is Gascogne)
root.PASB518_Massachusetts.ShipAbilities.AbilitySlot1.abils[1][1] changed in second object (was B_Gold, is Gascogne_gold)
root.PRSC510_Stalingrad.A_Hull.Ammo_1.maxHP changed in second object (was 42000.0, is 36200.0)
root.PRSC510_Stalingrad.A_Hull.Ammo_2.maxHP changed in second object (was 42000.0, is 36200.0)
root.PRSC510_Stalingrad.A_Hull.health changed in second object (was 84000.0, is 72450.0)
root.PRSC510_Stalingrad.A_Hull.Cas.maxHP changed in second object (was 9700.0, is 8300.0)
root.PRSC510_Stalingrad.A_Hull.St.maxHP changed in second object (was 5500.0, is 4700.0)
root.PRSC510_Stalingrad.A_Hull.Hull.maxHP changed in second object (was 63000.0, is 54300.0)
root.PRSC510_Stalingrad.A_Hull.SS.maxHP changed in second object (was 5400.0, is 4700.0)
root.PRSC510_Stalingrad.A_Hull.SG.maxHP changed in second object (was 25200.0, is 21700.0)
root.PRSC510_Stalingrad.A_Hull.Bow.maxHP changed in second object (was 4600.0, is 4000.0)
root.PRSC510_Stalingrad.A1_Artillery.sigmaCount changed in second object (was 2.05, is 2.25)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_2.shotDelay changed in second object (was 20.0, is 18.5)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_2.idealRadius changed in second object (was 10.0, is 12.0)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_2.minRadius changed in second object (was 1.6, is 2.0)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_3.horizSector[0] changed in second object (was -145.0, is -154.0)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_3.horizSector[1] changed in second object (was 145.0, is 154.0)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_3.shotDelay changed in second object (was 20.0, is 18.5)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_3.idealRadius changed in second object (was 10.0, is 12.0)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_3.minRadius changed in second object (was 1.6, is 2.0)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_3.vertSector[0] changed in second object (was 1.0, is 0.0)
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_3.pitchDeadZones[0] removed in first object
root.PRSC510_Stalingrad.A1_Artillery.HP_RGM_1.shotDelay changed in second object (was 20.0, is 18.5)
