>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PJSD706_Shinonome.ShipModernization removed in second object
root.PJSD706_Shinonome.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PASA002_Bogue_1942.ShipModernization removed in second object
root.PASA002_Bogue_1942.B_AirArmament.isIndependentLaunchpad removed in first object
root.PASA002_Bogue_1942.B_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PASA002_Bogue_1942.B_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PASA002_Bogue_1942.B_ATBA.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PASA002_Bogue_1942.A_AirArmament.isIndependentLaunchpad removed in first object
root.PASA002_Bogue_1942.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PASA002_Bogue_1942.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PBSB104_Orion.ShipModernization removed in second object
root.PBSB104_Orion.B_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PBSB104_Orion.B_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PBSB104_Orion.A_ATBA.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PBSB104_Orion.B_ATBA.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PBSB104_Orion.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PCM028_FireControl_Mod_I_US.shiplevel removed in first object
root.PCM028_FireControl_Mod_I_US.shiptype removed in first object
root.PCM028_FireControl_Mod_I_US.slot removed in first object
root.PCM028_FireControl_Mod_I_US.group removed in first object
root.PCM028_FireControl_Mod_I_US.ships removed in first object
root.PCM028_FireControl_Mod_I_US.excludes removed in first object
root.PCM028_FireControl_Mod_I_US.nation removed in first object
root.PGSC506_Admiral_Graf_Spee.ShipModernization removed in second object
root.PGSC506_Admiral_Graf_Spee.A_ATBA.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC506_Admiral_Graf_Spee.A_AirArmament.isIndependentLaunchpad removed in first object
root.PGSC506_Admiral_Graf_Spee.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC506_Admiral_Graf_Spee.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PCM038_Spotter_Mod_I.shiplevel removed in first object
root.PCM038_Spotter_Mod_I.shiptype removed in first object
root.PCM038_Spotter_Mod_I.slot removed in first object
root.PCM038_Spotter_Mod_I.group removed in first object
root.PCM038_Spotter_Mod_I.ships removed in first object
root.PCM038_Spotter_Mod_I.excludes removed in first object
root.PCM038_Spotter_Mod_I.nation removed in first object
root.PCBR002.hull.deathPlaneEffect removed in first object
root.PCBR001.hull.deathPlaneEffect removed in first object
root.PGSD104_V_170.ShipModernization removed in second object
root.PGSD104_V_170.B_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.ShipModernization removed in second object
root.PGSC106_Nurnberg.C_ATBA.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.B_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.B_AirDefense.AuraNear1.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.B_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.AB_ATBA.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.AB_AirArmament.isIndependentLaunchpad removed in first object
root.PGSC106_Nurnberg.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.A_AirDefense.AuraNear1.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.C_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC106_Nurnberg.C_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PAPA082_Shell_406mm_HE_HC_Mk_13E removed in second object
root.PXSX023_HMS_SS_Lorina.ShipModernization removed in second object
root.PRSD308_Pr_48.ShipModernization removed in second object
root.PRSD308_Pr_48.B_AirDefense.AuraMedium1.targetWeightTypeTable.Auxiliary removed in first object
root.PRSD308_Pr_48.B_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PRSD308_Pr_48.B_ATBA.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PRSD308_Pr_48.A_AirDefense.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PRSD308_Pr_48.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PRSD308_Pr_48.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PRSD001_Gremyashchy_1942.AirDefenseDefault.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PRSD001_Gremyashchy_1942.AirDefenseDefault.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PRSD001_Gremyashchy_1942.AirDefenseDefault.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PRSD001_Gremyashchy_1942.ShipModernization removed in second object
root.PBSD506_Gallant.ShipModernization removed in second object
root.PBSD506_Gallant.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PCM003_Airplanes_Mod_I.shiplevel removed in first object
root.PCM003_Airplanes_Mod_I.shiptype removed in first object
root.PCM003_Airplanes_Mod_I.slot removed in first object
root.PCM003_Airplanes_Mod_I.group removed in first object
root.PCM003_Airplanes_Mod_I.ships removed in first object
root.PCM003_Airplanes_Mod_I.excludes removed in first object
root.PCM003_Airplanes_Mod_I.nation removed in first object
root.PGSD103_G_101.ShipModernization removed in second object
root.PGSD103_G_101.B_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PASA906_Ranger_1944.ATBADefault.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PASA906_Ranger_1944.ShipModernization removed in second object
root.PASA906_Ranger_1944.PAUD013_Douglas_SBD5.planeType changed in second object (was PAAD013_Douglas_SBD5, is PXAD013_Douglas_SBD5)
root.PASA906_Ranger_1944.B_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PASA906_Ranger_1944.B_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PASA906_Ranger_1944.ShipUpgradeInfo.PAUF614_FlightControl_1F_3D.prev changed in second object (was PAUF613_FlightControl_2_F, is PAUF615_FlightControl_3F_3D)
root.PASA906_Ranger_1944.ShipUpgradeInfo.PAUF613_FlightControl_2_F removed in second object
root.PASA906_Ranger_1944.ShipUpgradeInfo.PAUF615_FlightControl_3F_3D removed in first object
root.PASA906_Ranger_1944.AB3_FlightControl.planesReserveAssignment.Dive changed in second object (was 1, is 4)
root.PASA906_Ranger_1944.AB3_FlightControl.planesReserveAssignment.Fighter changed in second object (was 1, is 2)
root.PASA906_Ranger_1944.AB3_FlightControl.squadrons[4] removed in first object
root.PASA906_Ranger_1944.AB3_FlightControl.squadrons[5] removed in first object
root.PASA906_Ranger_1944.AB3_FlightControl.prepareTimeFactor changed in second object (was 1.0, is 0.5)
root.PASA906_Ranger_1944.A1_AirArmament.isIndependentLaunchpad removed in first object
root.PASA906_Ranger_1944.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PASA906_Ranger_1944.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PASA906_Ranger_1944.B2_AirArmament.isIndependentLaunchpad removed in first object
root.PCM013_MainGun_Mod_III.shiplevel removed in first object
root.PCM013_MainGun_Mod_III.shiptype removed in first object
root.PCM013_MainGun_Mod_III.slot removed in first object
root.PCM013_MainGun_Mod_III.group removed in first object
root.PCM013_MainGun_Mod_III.ships removed in first object
root.PCM013_MainGun_Mod_III.excludes removed in first object
root.PCM013_MainGun_Mod_III.nation removed in first object
root.PCM010_Airplanes_Mod_II.shiplevel removed in first object
root.PCM010_Airplanes_Mod_II.shiptype removed in first object
root.PCM010_Airplanes_Mod_II.slot removed in first object
root.PCM010_Airplanes_Mod_II.group removed in first object
root.PCM010_Airplanes_Mod_II.ships removed in first object
root.PCM010_Airplanes_Mod_II.excludes removed in first object
root.PCM010_Airplanes_Mod_II.nation removed in first object
root.PZSD110_Hsiang_Yang.ShipModernization removed in second object
root.PZSD110_Hsiang_Yang.A1_Artillery.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PZSD110_Hsiang_Yang.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PZSD110_Hsiang_Yang.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PJSD206_Hatsuharu.ShipModernization removed in second object
root.PJSD206_Hatsuharu.B_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PJSD206_Hatsuharu.B1_127_50.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PJSD206_Hatsuharu.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PJSD206_Hatsuharu.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PJSD206_Hatsuharu.A1_127_50.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PRSC508_Kutuzov_1952.ShipModernization removed in second object
root.PRSC508_Kutuzov_1952.A_ATBA.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PRSC508_Kutuzov_1952.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC110_Hindenburg.ATBADefault.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC110_Hindenburg.AirDefenseDefault.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC110_Hindenburg.AirDefenseDefault.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PGSC110_Hindenburg.ShipModernization removed in second object
root.PGSC110_Hindenburg.AirArmamentDefault.isIndependentLaunchpad removed in first object
root.PCY005_Spotter.PIY003_IMAM_RO43_Battleship_4 removed in first object
root.PCY005_Spotter.PFY601_GL821_Battleship_4 removed in first object
root.PCY005_Spotter.PFY009_Breguet790_BB_5 removed in first object
root.PXSB005_Bismarck_H2017.ShipModernization removed in second object
root.PXSB005_Bismarck_H2017.A_ATBA.AuraFar.targetWeightTypeTable.Auxiliary removed in first object
root.PXSB005_Bismarck_H2017.AB_AirArmament.isIndependentLaunchpad removed in first object
root.PXSB005_Bismarck_H2017.A_AirDefense.AuraMedium.targetWeightTypeTable.Auxiliary removed in first object
root.PXSB005_Bismarck_H2017.A_AirDefense.AuraNear.targetWeightTypeTable.Auxiliary removed in first object
root.PAGM025_8in55_Triple_Mk16.armor.196707 removed in second object
root.PAGM025_8in55_Triple_Mk16.armor.1 removed in first object
root.PAGM025_8in55_Triple_Mk16.armor.131169 removed in first object
