>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCQT276_Key.costUnlock changed in second object (was 5, is 6)
root.PCQT285.rewards[0] changed in second object (was <Add type="CREDITS" limit="1000000" count="1000000"/>, is <Add type="CREDITS" limit="500000" count="500000"/>)
root.PCQT285.uiCondition[2] changed in second object (was IDS_TASKRESTRICTION_PVPCOOPRANKED, is IDS_TASKRESTRICTION_PVP)
root.PCQT285.lootStars changed in second object (was 2, is 1)
root.PCQT285.conditions[1] changed in second object (was <isBattleType battleTypes="PVP,COOPERATIVE,RANKED"/>, is <isBattleType battleTypes="PVP"/>)
root.PXW001_DefaultCrew.Skills.SuperintendentModifier.skillType changed in second object (was 16, is 17)
root.PXW001_DefaultCrew.Skills.LastChanceModifier.skillType changed in second object (was 21, is 23)
root.PXW001_DefaultCrew.Skills.PreparingOnboardShootersModifier.skillType changed in second object (was 15, is 16)
root.PXW001_DefaultCrew.Skills.LastEffortModifier.skillType changed in second object (was 19, is 20)
root.PXW001_DefaultCrew.Skills.CentralAirDefenceModifier.skillType changed in second object (was 25, is 27)
root.PXW001_DefaultCrew.Skills.ArtilleryAlertModifier.skillType changed in second object (was 18, is 19)
root.PXW001_DefaultCrew.Skills.ParkingDeckModifier.skillType changed in second object (was 27, is 29)
root.PXW001_DefaultCrew.Skills.PriorityTargetModifier.skillType changed in second object (was 26, is 28)
root.PXW001_DefaultCrew.Skills.PlanePreparingModifier.skillType changed in second object (was 9, is 10)
root.PXW001_DefaultCrew.Skills.AIGunsRangeModifier.skillType changed in second object (was 8, is 9)
root.PXW001_DefaultCrew.Skills.FireResistanceModifier.skillType changed in second object (was 13, is 14)
root.PXW001_DefaultCrew.Skills.FireProbabilityModifier.skillType changed in second object (was 7, is 8)
root.PXW001_DefaultCrew.Skills.NearEnemyIntuitionModifier.skillType changed in second object (was 32, is 34)
root.PXW001_DefaultCrew.Skills.LandmineExploderModifier.skillType changed in second object (was 31, is 33)
root.PXW001_DefaultCrew.Skills.CentralATBAModifier.skillType changed in second object (was 24, is 26)
root.PXW001_DefaultCrew.Skills.SurvivalModifier.skillType changed in second object (was 23, is 25)
root.PXW001_DefaultCrew.Skills.OutOfAttackModifier.skillType changed in second object (was 30, is 32)
root.PXW001_DefaultCrew.Skills.MeticulousPreventionModifier.skillType changed in second object (was 17, is 18)
root.PXW001_DefaultCrew.Skills.AdditionalSmokescreensModifier.skillType changed in second object (was 28, is 30)
root.PXW001_DefaultCrew.Skills.IntuitionModifier.skillType changed in second object (was 20, is 21)
root.PXW001_DefaultCrew.Skills.AdditionalPlanesInSquadModifier.skillType changed in second object (was 14, is 15)
root.PXW001_DefaultCrew.Skills.AllSkillsCooldownModifier.skillType changed in second object (was 12, is 13)
root.PXW001_DefaultCrew.Skills.TorpedoAlertnessModifier.skillType changed in second object (was 6, is 7)
root.PXW001_DefaultCrew.Skills.TorpedoAcceleratorModifier.skillType changed in second object (was 22, is 24)
root.PXW001_DefaultCrew.Skills.VisibilityModifier.skillType changed in second object (was 11, is 12)
root.PXW001_DefaultCrew.Skills.FighterEfficiencyModifier.skillType changed in second object (was 10, is 11)
root.PXW001_DefaultCrew.Skills.AimingFightersPointModifier.skillType changed in second object (was 29, is 31)
root.PJW012_Haguro.Skills.SuperintendentModifier.skillType changed in second object (was 16, is 17)
root.PJW012_Haguro.Skills.LastChanceModifier.skillType changed in second object (was 21, is 23)
root.PJW012_Haguro.Skills.PreparingOnboardShootersModifier.skillType changed in second object (was 15, is 16)
root.PJW012_Haguro.Skills.LastEffortModifier.skillType changed in second object (was 19, is 20)
root.PJW012_Haguro.Skills.CentralAirDefenceModifier.skillType changed in second object (was 25, is 27)
root.PJW012_Haguro.Skills.ArtilleryAlertModifier.skillType changed in second object (was 18, is 19)
root.PJW012_Haguro.Skills.ParkingDeckModifier.skillType changed in second object (was 27, is 29)
