>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PBPA009_152MM_AP_100LBS.bulletDetonator changed in second object (was 0.025, is 0.005)
root.PBPA009_152MM_AP_100LBS.alphaDamage changed in second object (was 1400.0, is 2500.0)
root.PBSC102_Weymouth.AB_Engine.forwardEngineForsagMaxSpeed changed in second object (was 2.5, is 24.18)
root.PBSC102_Weymouth.AB_Engine.backwardEngineForsagMaxSpeed changed in second object (was 2.5, is 5.0)
root.PBSC102_Weymouth.AB_Engine.forwardEngineForsag changed in second object (was 2.5, is 1.75)
root.PASB012_North_Carolina_1945.B_Hull_1942.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.B_Hull_1942.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.B_Hull_1942.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.B_Hull_1942.armor.65630 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.C_Hull_1945.armor.65584 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.C_Hull_1945.armor.65585 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.C_Hull_1945.armor.65629 changed in second object (was 28.0, is 32.0)
root.PASB012_North_Carolina_1945.C_Hull_1945.armor.65630 changed in second object (was 28.0, is 32.0)
root.PBGT038_21in_Triple_Torpedo_Tube.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PASA002_Bogue_1942.A_Hull.armor.65623 changed in second object (was 16.0, is 13.0)
root.PASA002_Bogue_1942.B_Hull.armor.65623 changed in second object (was 16.0, is 13.0)
root.PBSC109_Neptune.A_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PBSC109_Neptune.A_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PBSC109_Neptune.A_Hull.armor.65584 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65585 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65603 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65622 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65623 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65630 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.A_Hull.armor.65629 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.ShipModernization.ModernizationSlot5.mods[1] changed in second object (was PCM024_Engine_Mod_II, is PCM025_SteeringGear_Mod_II)
root.PBSC109_Neptune.ShipModernization.ModernizationSlot5.mods[2] removed in second object
root.PBSC109_Neptune.AB1_Torpedoes.HP_BGT_3.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB1_Torpedoes.HP_BGT_2.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB1_Torpedoes.HP_BGT_1.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.AB1_Torpedoes.HP_BGT_4.timeBetweenShots changed in second object (was 1.0, is 0.2)
root.PBSC109_Neptune.B_Hull.armor.65625 changed in second object (was 12.0, is 13.0)
root.PBSC109_Neptune.B_Hull.armor.65626 changed in second object (was 12.0, is 13.0)
root.PBSC109_Neptune.B_Hull.armor.65584 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65585 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65603 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65622 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65623 changed in second object (was 22.0, is 16.0)
root.PBSC109_Neptune.B_Hull.armor.65630 changed in second object (was 22.0, is 16.0)
